City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kourou,5.1552,-52.6478,24.03,86,45,1.95,GF,1722647698
1,port-aux-francais,-49.35,70.2167,1.96,70,80,12.52,TF,1722647699
2,st. john's,47.5649,-52.7093,15.71,93,100,8.05,CA,1722647432
3,new norfolk,-42.7826,147.0587,12.73,71,100,1.51,AU,1722647702
4,karukh,34.4811,62.5863,20.96,38,59,5.61,AF,1722647704
5,longyearbyen,78.2186,15.6401,12.91,82,0,1.54,SJ,1722647705
6,playa blanca,28.8643,-13.8281,25.11,87,0,5.92,ES,1722647706
7,suva,-18.1416,178.4415,27.71,74,40,5.14,FJ,1722647707
8,puerto natales,-51.7236,-72.4875,1.65,99,100,0.39,CL,1722647638
9,bilibino,68.0546,166.4372,12.73,45,100,3.81,RU,1722647710
10,kruisfontein,-34.0033,24.7314,7.59,90,0,1.66,ZA,1722647711
11,nguigmi,14.2495,13.1092,27.58,67,100,3.56,NE,1722647712
12,fortaleza,-3.7227,-38.5247,27.07,74,40,5.14,BR,1722647101
13,hawaiian paradise park,19.5933,-154.9731,28.26,76,75,5.14,US,1722647714
14,rongelap,11.1635,166.8941,28.45,78,19,3.56,MH,1722647716
15,jayapura,-2.5333,140.7,30.66,67,99,1.97,ID,1722647717
16,waitangi,-43.9535,-176.5597,8.79,79,100,3.58,NZ,1722647718
17,edinburgh of the seven seas,-37.0676,-12.3116,9.48,51,47,12.81,SH,1722647720
18,ushuaia,-54.8,-68.3,0.5,97,100,3.45,AR,1722647595
19,san mariano,7.5,126.0,28.24,73,45,1.66,PH,1722647722
20,port douglas,-16.4833,145.4667,22.08,74,85,7.49,AU,1722647723
21,alice springs,-23.7,133.8833,18.75,27,77,5.66,AU,1722647725
22,mishan,45.55,131.8833,22.59,84,59,4.17,CN,1722647726
23,adamstown,-25.066,-130.1015,20.17,79,1,3.43,PN,1722647727
24,hithadhoo,-0.6,73.0833,28.5,75,100,3.95,MV,1722647728
25,es castell,39.8795,4.2854,26.38,73,0,7.2,ES,1722647730
26,blackmans bay,-43.0167,147.3167,12.07,69,100,0.45,AU,1722647731
27,nemuro,43.3236,145.575,18.34,84,95,5.3,JP,1722647732
28,saipan,15.1355,145.701,31.39,74,75,6.69,MP,1722647733
29,sitka,57.0531,-135.33,17.94,63,20,7.72,US,1722647736
30,grytviken,-54.2811,-36.5092,0.04,88,100,5.98,GS,1722647737
31,kone,-21.0595,164.8658,22.45,46,0,4.76,NC,1722647739
32,gelibolu,40.4103,26.6708,17.92,72,0,3.8,TR,1722647741
33,tanumah,27.1,44.1333,29.16,21,3,3.9,SA,1722647742
34,luderitz,-26.6481,15.1594,15.67,37,27,1.32,NA,1722647743
35,horodok,49.1637,26.5839,18.39,77,100,2.45,UA,1722647744
36,thunder bay,48.4001,-89.3168,22.96,49,0,3.3,CA,1722647570
37,wailua homesteads,22.0669,-159.378,27.85,65,100,4.63,US,1722647747
38,coquimbo,-29.9533,-71.3436,13.85,100,40,5.14,CL,1722647748
39,iqaluit,63.7506,-68.5145,6.85,56,20,1.54,CA,1722647749
40,puerto baquerizo moreno,-0.9,-89.6,19.46,77,100,5.76,EC,1722647751
41,klaksvik,62.2266,-6.589,11.51,90,98,5.5,FO,1722647752
42,don sak,9.3168,99.6918,28.94,83,98,2.65,TH,1722647753
43,gunjur,13.2019,-16.7339,26.04,83,20,2.06,GM,1722647755
44,rebrikha,53.0733,82.3408,20.86,76,56,4.5,RU,1722647756
45,ilulissat,69.2167,-51.1,9.01,66,0,0.0,GL,1722647757
46,korsakov,46.6328,142.7813,13.91,96,100,7.82,RU,1722647758
47,enewetak,11.3474,162.3373,28.73,77,56,4.57,MH,1722647759
48,lae,-6.7221,146.9847,25.99,74,100,2.82,PG,1722647761
49,port alfred,-33.5906,26.891,12.69,79,0,1.59,ZA,1722647762
50,jamestown,42.097,-79.2353,21.68,96,0,2.57,US,1722647472
51,avarua,-21.2078,-159.775,24.03,53,75,2.57,CK,1722647765
52,colonia,50.9333,6.95,18.27,87,11,1.03,DE,1722647766
53,sikar,27.6167,75.15,25.52,90,69,3.62,IN,1722647767
54,georgetown,5.4112,100.3354,29.97,69,20,1.54,MY,1722647764
55,aldinga beach,-35.2793,138.4604,14.8,68,100,1.57,AU,1722647769
56,barabai,-2.5833,115.3833,26.74,80,100,0.16,ID,1722647771
57,bethel,41.3712,-73.414,25.59,85,100,0.45,US,1722647772
58,papatowai,-46.5619,169.4708,8.38,65,58,1.01,NZ,1722647773
59,broome,42.2506,-75.833,22.59,86,71,1.69,US,1722647774
60,mount gambier,-37.8333,140.7667,11.64,72,100,1.66,AU,1722647777
61,papao,-17.75,-149.55,25.82,68,0,6.26,PF,1722647778
62,souillac,-20.5167,57.5167,19.21,94,40,2.57,MU,1722647779
63,okhotsk,59.3833,143.3,15.88,57,0,3.84,RU,1722647781
64,labrador city,52.9463,-66.9114,21.95,60,75,1.54,CA,1722647782
65,cabo san lucas,22.8909,-109.9124,34.61,51,40,5.14,MX,1722647623
66,brazil,39.5237,-87.125,24.46,85,9,2.93,US,1722647785
67,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,60,75,3.0,RU,1722647786
68,kenai,60.5544,-151.2583,17.05,73,0,10.29,US,1722647787
69,saint marys,30.7305,-81.5465,27.79,87,0,1.54,US,1722647788
70,magistral'nyy,56.1725,107.4458,19.53,58,1,1.15,RU,1722647790
71,lunavada,23.1333,73.6167,25.6,93,100,5.05,IN,1722647791
72,klyuchi,52.2667,79.1667,22.31,65,95,1.9,RU,1722647792
73,kodiak,57.79,-152.4072,15.73,72,0,3.09,US,1722647794
74,amos,48.5669,-78.1162,21.28,80,22,0.97,CA,1722647702
75,albany,42.6001,-73.9662,23.23,95,100,1.3,US,1722647744
76,kidal,18.4411,1.4078,26.68,61,100,4.2,ML,1722647798
77,praia da vitoria,38.7333,-27.0667,22.64,88,20,1.44,PT,1722647799
78,chuguyevka,44.1653,133.8633,22.36,99,100,1.02,RU,1722647800
79,sur,22.5667,59.5289,32.4,54,39,2.97,OM,1722647801
80,utrik,11.2278,169.8474,28.23,75,6,2.29,MH,1722647803
81,thompson,55.7435,-97.8558,18.09,55,20,4.63,CA,1722647804
82,orkney,-26.9802,26.6727,9.54,59,0,1.81,ZA,1722647805
83,upington,-28.4478,21.2561,5.21,30,0,1.54,ZA,1722647806
84,san andres,12.5847,-81.7006,29.01,84,20,3.6,CO,1722647808
85,west island,-12.1568,96.8225,26.99,74,100,5.14,CC,1722647809
86,badger,64.8,-147.5333,11.14,89,100,4.12,US,1722647810
87,pangody,65.85,74.4859,19.46,68,42,5.36,RU,1722647812
88,mogadishu,2.0371,45.3438,24.56,83,99,7.83,SO,1722647813
89,nagqu,31.5,92.0,5.63,83,96,1.47,CN,1722647814
90,punta arenas,-53.15,-70.9167,4.06,81,100,4.12,CL,1722647655
91,college,64.8569,-147.8028,11.18,88,100,4.12,US,1722647818
92,yellowknife,62.456,-114.3525,17.45,64,20,5.66,CA,1722647819
93,novyy urgal,51.0736,132.5642,23.78,57,22,0.82,RU,1722647821
94,sheridan,44.8333,-106.9173,37.21,17,0,3.09,US,1722647822
95,nikolayevsk-on-amure,53.1406,140.73,21.0,37,0,1.41,RU,1722647823
96,moyale,3.5167,39.0584,18.72,65,55,5.46,KE,1722647825
97,la jolla,32.8473,-117.2742,33.24,59,20,4.63,US,1722647826
98,pisco,-13.7,-76.2167,16.12,88,0,5.66,PE,1722647827
99,tura,25.5198,90.2201,23.71,99,100,2.24,IN,1722647828
100,margaret river,-33.95,115.0667,11.29,75,58,2.52,AU,1722647830
101,mugia,43.1041,-9.2179,15.09,84,0,2.98,ES,1722647831
102,santa cruz,-17.8,-63.1667,28.7,33,0,9.05,BO,1722647400
103,harper,4.375,-7.7169,24.2,82,100,5.04,LR,1722647834
104,tiksi,71.6872,128.8694,7.18,67,100,0.88,RU,1722647835
105,embi,48.8264,58.1442,21.7,35,78,3.94,KZ,1722647836
106,northam,51.0333,-4.2167,18.7,96,100,5.47,GB,1722647838
107,kudahuvadhoo,2.6708,72.8944,28.24,72,100,1.25,MV,1722647840
